Item,Prices
1 Breakfast Burrito Extra Value Meal,CAN$ 6.01
2 Breakfast Burritos Extra Value Meal,CAN$ 8.89
Everything Bacon ‘N Egg Bagel Extra Value Meal,CAN$ 8.39
Spicy Habanero Bacon ‘N Egg McMuffin Extra Value Meal,CAN$ 7.87
Sesame Bacon ‘N Egg Bagel Extra Value Meal,CAN$ 8.39
Spicy Habanero Chicken McMuffin Extra Value Meal,CAN$ 6.67
Plain Sausage ‘N Egg Bagel Extra Value Meal,CAN$ 8.39
Chicken McMuffin Extra Value Meal,CAN$ 6.45
Everything Sausage ‘N Egg Bagel Extra Value Meal,CAN$ 8.09
Egg McMuffin Extra Value Meal,CAN$ 7.49
Chicken McGriddle Extra Value Meal,CAN$ 6.29
Bacon ‘N Egg McMuffin Extra Value Meal,CAN$ 7.59
"Sausage, Egg & Cheese McGriddles Extra Value Meal",CAN$ 7.59
Sausage ‘N Egg McMuffin Extra Value Meal,CAN$ 7.59
"Bacon, Egg & Cheese McGriddles Extra Value Meal",CAN$ 7.89
Plain Egg BLT Bagel Extra Value Meal,CAN$ 8.79
Sausage McGriddle Extra Value Meal,CAN$ 7.02
Everything Egg BLT Bagel Extra Value Meal,CAN$ 8.79
Sesame Egg BLT Bagel Extra Value Meal,CAN$ 8.79
Plain Bacon ‘N Egg Bagel Extra Value Meal,CAN$ 8.39
