Item,Prices,Total Calories,Total Fat (% Daily Value),Total Sugars,Total Protein
1 Breakfast Burrito Extra Value Meal,6.01,450,39,2,13
2 Breakfast Burritos Extra Value Meal,8.89,750,64,4,25
Everything Bacon ‘N Egg Bagel Extra Value Meal,8.39,770,62,7,31
Spicy Habanero Bacon ‘N Egg McMuffin Extra Value Meal,7.87,0,0,0,0
Sesame Bacon ‘N Egg Bagel Extra Value Meal,8.39,770,62,7,31
Plain Sausage ‘N Egg Bagel Extra Value Meal,8.39,770,62,7,31
Everything Sausage ‘N Egg Bagel Extra Value Meal,8.09,770,62,7,31
Egg McMuffin Extra Value Meal,7.49,450,34,3,18
Bacon ‘N Egg McMuffin Extra Value Meal,7.59,0,0,0,0
"Sausage, Egg & Cheese McGriddles Extra Value Meal",7.59,700,62,15,21
Sausage ‘N Egg McMuffin Extra Value Meal,7.59,600,57,2,22
"Bacon, Egg & Cheese McGriddles Extra Value Meal",7.89,610,46,15,20
Sausage McGriddle Extra Value Meal,7.02,570,48,15,12
Plain Bacon ‘N Egg Bagel Extra Value Meal,8.39,0,0,0,0
